No.,Year,Prefecture,Prefecture total production(m),production change,public affair(m),public change,education(m),educ change,health and social welfare(m),social change,Received,Received change,Deduction,Deduction change,Residents Total Income(m),Income change,labornum(t),workinghour(per month),labor input (per month),labor change,Company stock(b),stock change,Deflator (2011 based)
37,26,Kagawa,"3,650,282",-0.0141,"184,969",0.0185,"167,196",0.0026,"338,578",-0.0151,"106,390,003",1.3467,"77,897,000",3.1465,"3,684,112",-0.0123,340.8,150.1,51154.1,-0.0155,4377.1,0.0004,1.002819782
37,27,Kagawa,"3,660,734",0.0029,"186,002",0.0056,"167,040",-0.0009,"353,446",0.0439,"716,794,218",5.7374,"469,236,000",5.0238,"3,724,461",0.011,331.3,147.5,48866.8,-0.0447,4451.2,0.0169,1.022329675
37,28,Kagawa,"3,695,617",0.0095,"183,335",-0.0143,"163,156",-0.0233,"351,351",-0.0059,"2,084,356,276",1.9079,"274,880,364",-0.4142,"3,698,685",-0.0069,333.5,148.7,49591.5,0.0148,4542.5,0.0205,1.026445922
37,29,Kagawa,"3,750,895",0.015,"184,855",0.0083,"162,568",-0.0036,"353,683",0.0066,"2,853,788,070",0.3691,"482,714,455",0.7561,"3,769,359",0.0191,338.4,148,50083.2,0.0099,,,1.025332621
38,20,Ehime,"4,587,171",,"230,585",,"223,146",,"416,044",,"54,151,567",,"4,939,000",,"4,685,889",,381.8,155.9,59522.62,,7336.4,,1.025381221
38,21,Ehime,"4,532,349",-0.012,"233,198",0.0113,"229,430",0.0282,"434,903",0.0453,"81,687,306",0.5085,"8,862,000",0.7943,"4,643,326",-0.0091,422.2,151.7,64047.74,0.076,7259.3,-0.0105,1.027405657
38,22,Ehime,"4,674,993",0.0315,"226,901",-0.027,"237,890",0.0369,"448,957",0.0323,"71,969,112",-0.119,"7,042,000",-0.2054,"4,786,242",0.0308,416.2,152.5,63470.5,-0.009,7253.9,-0.0007,1.013240234
38,23,Ehime,"4,945,671",0.0579,"229,247",0.0103,"241,326",0.0144,"446,775",-0.0049,"72,139,294",0.0024,"92,051,000",12.0717,"5,067,132",0.0587,420.2,152.6,64122.5,0.0103,7196.8,-0.0079,1.0020891
38,24,Ehime,"4,595,634",-0.0708,"225,900",-0.0146,"240,439",-0.0037,"454,271",0.0168,"102,745,458",0.4243,"17,627,000",-0.8085,"4,685,056",-0.0754,436.5,152.1,66391.7,0.0354,7128.5,-0.0095,0.99607323
38,25,Ehime,"4,753,970",0.0345,"220,432",-0.0242,"239,025",-0.0059,"458,945",0.0103,"203,313,936",0.9788,"28,067,000",0.5923,"4,864,033",0.0382,433.5,147.9,64114.7,-0.0343,7147.3,0.0026,0.985485815
38,26,Ehime,"4,677,654",-0.0161,"228,892",0.0384,"238,859",-0.0007,"453,565",-0.0117,"670,888,794",2.2998,"100,430,000",2.5782,"4,832,853",-0.0064,432.4,149.3,64557.3,0.0069,7101.4,-0.0064,1.009502627
38,27,Ehime,"4,735,917",0.0125,"232,099",0.014,"239,490",0.0026,"459,171",0.0124,"2,198,839,896",2.2775,"575,283,000",4.7282,"4,859,453",0.0055,431.9,150.6,65044.1,0.0075,7083.7,-0.0025,1.03509901
38,28,Ehime,"4,820,082",0.0178,"233,552",0.0063,"240,419",0.0039,"461,757",0.0056,"2,362,193,715",0.0743,"350,490,867",-0.3908,"4,921,678",0.0128,431.8,151.1,65245,0.0031,7094,0.0015,1.040915901
38,29,Ehime,"4,943,344",0.0256,"233,348",-0.0009,"237,427",-0.0124,"459,249",-0.0054,"2,340,204,103",-0.0093,"528,833,625",0.5088,"5,080,483",0.0323,433.5,149.2,64678.2,-0.0087,,,1.041763834
39,20,Kochi,"2,227,361",,"164,795",,"134,690",,"268,086",,"60,908,208",,"6,455,000",,"2,286,339",,239.6,151.3,36251.48,,2718.4,,1.019255074
39,21,Kochi,"2,201,230",-0.0117,"173,499",0.0528,"138,593",0.029,"273,711",0.021,"57,482,280",-0.0562,"7,083,000",0.0973,"2,257,816",-0.0125,229.3,146.4,33569.52,-0.074,2663.3,-0.0203,1.015182421
39,22,Kochi,"2,223,055",0.0099,"171,792",-0.0098,"141,577",0.0215,"280,636",0.0253,"54,562,313",-0.0508,"6,591,000",-0.0695,"2,282,662",0.011,222.3,147.4,32767,-0.0239,2600.9,-0.0234,1.009011473
39,23,Kochi,"2,239,179",0.0073,"173,943",0.0125,"143,766",0.0155,"281,338",0.0025,"68,769,303",0.2604,"71,495,000",9.8474,"2,313,605",0.0136,222.3,148.9,33100.5,0.0102,2561.1,-0.0153,1.002118634
39,24,Kochi,"2,232,088",-0.0032,"170,653",-0.0189,"145,159",0.0097,"288,390",0.0251,"80,401,511",0.1691,"11,087,000",-0.8449,"2,282,172",-0.0136,211.1,148.6,31369.5,-0.0523,2528.8,-0.0126,0.999931454
39,25,Kochi,"2,299,009",0.03,"168,417",-0.0131,"143,109",-0.0141,"292,983",0.0159,"196,883,573",1.4488,"13,406,000",0.2092,"2,365,666",0.0366,212,149.6,31715.2,0.011,2529.7,0.0003,0.997061343
39,26,Kochi,"2,291,935",-0.0031,"171,362",0.0175,"143,225",0.0008,"287,516",-0.0187,"712,907,146",2.621,"41,142,000",2.0689,"2,367,183",0.0006,211.8,152,32193.6,0.0151,2536.2,0.0026,1.019550729
39,27,Kochi,"2,311,027",0.0083,"168,542",-0.0165,"143,359",0.0009,"295,734",0.0286,"4,469,161,798",5.2689,"196,086,000",3.7661,"2,401,667",0.0146,210.5,151.6,31911.8,-0.0088,2551.1,0.0059,1.032930381
39,28,Kochi,"2,313,842",0.0012,"167,475",-0.0063,"142,237",-0.0078,"295,108",-0.0021,"7,138,592,300",0.5973,"116,188,344",-0.4075,"2,395,025",-0.0028,214.7,148.2,31818.5,-0.0029,2553.5,0.0009,1.041771219
39,29,Kochi,"2,324,254",0.0045,"166,519",-0.0057,"140,013",-0.0156,"292,456",-0.009,"10,224,177,949",0.4322,"199,021,034",0.7129,"2,419,277",0.0101,219.4,149.1,32712.5,0.0281,,,1.045261835
40,20,Fukuoka,"17,447,054",,"890,341",,"750,313",,"1,487,613",,"60,226,062",,"55,089,000",,"17,837,984",,1611.5,149.9,241563.85,,21989.1,,1.026266669
40,21,Fukuoka,"17,562,692",0.0066,"901,214",0.0122,"781,312",0.0413,"1,566,176",0.0528,"181,619,700",2.0156,"51,698,000",-0.0616,"17,906,114",0.0038,1635.4,148,242039.2,0.002,21768.5,-0.01,1.020307821
40,22,Fukuoka,"18,088,304",0.0299,"893,967",-0.008,"783,662",0.003,"1,625,705",0.038,"98,256,007",-0.459,"62,409,000",0.2072,"18,403,442",0.0278,"1,602.70",150.6,241366.6,-0.0028,21672.7,-0.0044,1.009933159
40,23,Fukuoka,"18,170,112",0.0045,"897,521",0.004,"791,385",0.0099,"1,639,360",0.0084,"383,807,321",2.9062,"572,286,000",8.1699,"18,613,066",0.0114,"1,586.80",149.5,237226.6,-0.0172,21608.9,-0.0029,1.000991849
